DATASET
OBJTYPE "mesh2d"
BEGVEC
ND 4
NC 2
NAME "Old Depth-Averaged Velocity"
TIMEUNITS SECONDS
  2.44376020e-01  -8.52257322e-04   0.00000000e+00
  1.13054062e-01   6.43783560e-02   0.00000000e+00
 -2.37184770e-02   7.16708791e-02   0.00000000e+00
  1.55113841e-01   5.27538150e-02   0.00000000e+00
TS 0  3.70100000e+00
  3.29967520e-01  -4.27416966e-02   0.00000000e+00
  2.81796553e-01   9.97453767e-03   0.00000000e+00
  1.12090114e-01   5.49412410e-02   0.00000000e+00
  1.73766021e-01   1.07569854e-01   0.00000000e+00
TS 0  3.75100000e+00
  3.93190772e-01  -9.50416183e-02   0.00000000e+00
  4.31784948e-01  -4.67113746e-02   0.00000000e+00
  2.18498462e-01   2.86931862e-02   0.00000000e+00
  1.68573346e-01   1.50720533e-01   0.00000000e+00
TS 0  3.80100000e+00
  4.30461516e-01  -1.46338914e-01   0.00000000e+00
  5.50636020e-01  -9.39367611e-02   0.00000000e+00
  2.92188094e-01   5.02173630e-03   0.00000000e+00
  1.44106937e-01   1.86254625e-01   0.00000000e+00
TS 0  3.85100000e+00
  4.42132574e-01  -1.85054529e-01   0.00000000e+00
  6.33192170e-01  -1.22814168e-01   0.00000000e+00
  3.34063909e-01  -8.29282823e-03   0.00000000e+00
  1.08521408e-01   2.16107309e-01   0.00000000e+00
TS 0  3.90100000e+00
  4.32101193e-01  -2.04608741e-01   0.00000000e+00
  6.77162371e-01  -1.28719785e-01   0.00000000e+00
  3.46933002e-01  -7.33545422e-03   0.00000000e+00
  7.01452795e-02   2.40717085e-01   0.00000000e+00
TS 0  3.95100000e+00
  4.05661430e-01  -2.04439686e-01   0.00000000e+00
  6.81932318e-01  -1.11885630e-01   0.00000000e+00
  3.33846799e-01   7.67005378e-03   0.00000000e+00
  3.55789967e-02   2.58610760e-01   0.00000000e+00
TS 0  4.00100000e+00
  3.67068793e-01  -1.88636049e-01   0.00000000e+00
  6.48635454e-01  -7.71431417e-02   0.00000000e+00
  2.97382660e-01   3.25290500e-02   0.00000000e+00
  8.31537461e-03   2.66657132e-01   0.00000000e+00
TS 0  4.05100000e+00
  3.18243438e-01  -1.63509626e-01   0.00000000e+00
  5.81165588e-01  -3.26957052e-02   0.00000000e+00
  2.39780988e-01   6.01546217e-02   0.00000000e+00
 -1.15619165e-02   2.60758977e-01   0.00000000e+00
TS 0  4.10100000e+00
  2.58967425e-01  -1.35778914e-01   0.00000000e+00
  4.86065351e-01   1.18159168e-02   0.00000000e+00
  1.63813697e-01   8.24405393e-02   0.00000000e+00
 -2.68318572e-02   2.37005100e-01   0.00000000e+00
TS 0  4.15100000e+00
  1.88178561e-01  -1.11730641e-01   0.00000000e+00
  3.70686982e-01   4.73300537e-02   0.00000000e+00
  7.34870550e-02   9.27039630e-02   0.00000000e+00
 -4.21394003e-02   1.93336460e-01   0.00000000e+00
TS 0  4.20100000e+00
  1.05882923e-01  -9.64929460e-02   0.00000000e+00
  2.42518413e-01   6.70124029e-02   0.00000000e+00
 -2.69928818e-02   8.81641349e-02   0.00000000e+00
 -6.26067532e-02   1.30966381e-01   0.00000000e+00
TS 0  4.25100000e+00
  1.50349357e-02  -9.30602962e-02   0.00000000e+00
  1.08315588e-01   6.91695058e-02   0.00000000e+00
 -1.32435932e-01   6.80758537e-02   0.00000000e+00
 -9.10146745e-02   5.36045730e-02   0.00000000e+00
TS 0  4.30100000e+00
 -7.78332694e-02  -1.00794687e-01   0.00000000e+00
 -2.43867215e-02   5.66968531e-02   0.00000000e+00
 -2.37298072e-01   3.51359525e-02   0.00000000e+00
 -1.27161388e-01  -3.16104108e-02   0.00000000e+00
TS 0  4.35100000e+00
 -1.61453560e-01  -1.14575018e-01   0.00000000e+00
 -1.47969090e-01   3.67962795e-02   0.00000000e+00
 -3.36921342e-01  -4.77308604e-03   0.00000000e+00
 -1.66310321e-01  -1.15551344e-01   0.00000000e+00
TS 0  4.40100000e+00
 -2.24446262e-01  -1.26589784e-01   0.00000000e+00
 -2.54954430e-01   1.73569529e-02   0.00000000e+00
 -4.27883020e-01  -4.35438029e-02   0.00000000e+00
 -2.01488914e-01  -1.88561100e-01   0.00000000e+00
TS 0  4.45100000e+00
 -2.59693174e-01  -1.29828132e-01   0.00000000e+00
 -3.38575632e-01   5.96747316e-03   0.00000000e+00
 -5.05201717e-01  -7.37397429e-02   0.00000000e+00
 -2.24953340e-01  -2.42310106e-01   0.00000000e+00
TS 0  4.50100000e+00
 -2.65593442e-01  -1.20753567e-01   0.00000000e+00
 -3.93538608e-01   7.35550564e-03   0.00000000e+00
 -5.62091178e-01  -8.94136869e-02   0.00000000e+00
 -2.30321415e-01  -2.71089939e-01   0.00000000e+00
TS 0  4.55100000e+00
 -2.44392478e-01  -9.98107571e-02   0.00000000e+00
 -4.16210362e-01   2.21084681e-02   0.00000000e+00
 -5.90741699e-01  -8.70752319e-02   0.00000000e+00
 -2.14170961e-01  -2.72804815e-01   0.00000000e+00
TS 0  4.60100000e+00
 -2.00085843e-01  -7.05934825e-02   0.00000000e+00
 -4.04699458e-01   4.65220716e-02   0.00000000e+00
 -5.83962664e-01  -6.68900119e-02   0.00000000e+00
 -1.76876928e-01  -2.49302194e-01   0.00000000e+00
TS 0  4.65100000e+00
 -1.37245769e-01  -3.87684315e-02   0.00000000e+00
 -3.58923646e-01   7.36177944e-02   0.00000000e+00
 -5.37698838e-01  -3.35624593e-02   0.00000000e+00
 -1.22644140e-01  -2.05888950e-01   0.00000000e+00
TS 0  4.70100000e+00
 -6.07511832e-02  -1.10657107e-02   0.00000000e+00
 -2.80747147e-01   9.49386404e-02   0.00000000e+00
 -4.53769713e-01   4.16960376e-03   0.00000000e+00
 -5.88277911e-02  -1.50052293e-01   0.00000000e+00
TS 0  4.75100000e+00
  2.40603910e-02   5.83906033e-03   0.00000000e+00
 -1.74450259e-01   1.02784881e-01   0.00000000e+00
 -3.41076077e-01   3.60804696e-02   0.00000000e+00
  5.37064985e-03  -8.96323365e-02   0.00000000e+00
TS 0  4.80100000e+00
  1.11221770e-01   6.76199851e-03   0.00000000e+00
 -4.76602762e-02   9.24205297e-02   0.00000000e+00
 -2.13762262e-01   5.42872661e-02   0.00000000e+00
  6.07636380e-02  -3.10973391e-02   0.00000000e+00
TS 0  4.85100000e+00
  1.94272174e-01  -1.03368560e-02   0.00000000e+00
  8.93177804e-02   6.41001620e-02   0.00000000e+00
 -8.69719411e-02   5.58779190e-02   0.00000000e+00
  1.00284542e-01   2.13319394e-02   0.00000000e+00
TS 0  4.90100000e+00
  2.66740557e-01  -4.32309474e-02   0.00000000e+00
  2.24509572e-01   2.30165348e-02   0.00000000e+00
  2.72136033e-02   4.33951289e-02   0.00000000e+00
  1.20359904e-01   6.59534962e-02   0.00000000e+00
TS 0  4.95100000e+00
  3.23265170e-01  -8.53097098e-02   0.00000000e+00
  3.47970326e-01  -2.16884109e-02   0.00000000e+00
  1.21532399e-01   2.25259649e-02   0.00000000e+00
  1.21519924e-01   1.02922419e-01   0.00000000e+00
TS 0  5.00000000e+00
  3.59919067e-01  -1.26851458e-01   0.00000000e+00
  4.47787136e-01  -5.99513437e-02   0.00000000e+00
  1.90534594e-01   2.61152880e-03   0.00000000e+00
  1.07057546e-01   1.34199838e-01   0.00000000e+00
ENDDS
