DATASET
OBJTYPE "mesh3d"
BEGVEC
ND 8
NC 6
NAME "Velocity"
TIMEUNITS SECONDS
-4.14882234e-02 -2.29322496e-01 -3.21698827e-10
 6.21182082e-01  5.19365209e-02 -3.74278443e-01
 6.21182082e-01  5.19365209e-02  0.00000000e+00
TS 0  1.45100000e+00
 9.58607947e-01 -2.03880419e-01  8.44248515e-02
 9.58607947e-01 -2.03880419e-01  0.00000000e+00
-6.77756011e-02  4.53997870e-01  2.61935712e+00
 6.53513710e-01  3.11580901e-01 -8.00236873e-10
 8.12719903e-01 -2.75068942e-01  1.09285205e+00
-8.72013553e-02 -3.82735792e-01  3.03003198e-09
 6.42929273e-01  5.51247617e-02 -7.63656850e-01
 6.42929273e-01  5.51247617e-02  0.00000000e+00
TS 0  1.50100000e+00
 1.00788715e+00 -2.00537925e-01 -1.13214680e-01
 1.00788715e+00 -2.00537925e-01  0.00000000e+00
-1.04109616e-01  5.02261272e-01  3.14629847e+00
 9.47175958e-01  4.25520495e-01 -1.05808747e-08
 1.02289904e+00 -3.58795481e-01  1.47583237e+00
-1.42465408e-01 -4.66464090e-01  7.94117498e-09
 6.29996777e-01  6.51659023e-02 -9.81227448e-01
 6.29996777e-01  6.51659023e-02  0.00000000e+00
TS 0  1.55100000e+00
 9.88458816e-01 -1.72342616e-01 -1.98408693e-01
 9.88458816e-01 -1.72342616e-01  0.00000000e+00
-9.29899523e-02  5.13735698e-01  3.04086723e+00
 1.10443517e+00  4.85838698e-01 -1.10450035e-08
 1.09519030e+00 -4.20724833e-01  1.89918933e+00
-2.09661386e-01 -4.48958172e-01  6.88302991e-09
 5.89356681e-01  8.05342995e-02 -9.96785758e-01
 5.89356681e-01  8.05342995e-02  0.00000000e+00
TS 0  1.60100000e+00
 9.00809390e-01 -1.23552839e-01 -2.08576841e-01
 9.00809390e-01 -1.23552839e-01  0.00000000e+00
-4.71394666e-02  4.93807982e-01  2.39774629e+00
 1.12969224e+00  4.79905943e-01 -2.64283426e-09
 1.03999881e+00 -4.52139723e-01  2.20619412e+00
-2.82065404e-01 -3.28273809e-01  2.52792218e-09
 5.23921602e-01  9.74313313e-02 -8.05100143e-01
 5.23921602e-01  9.74313313e-02  0.00000000e+00
TS 0  1.65100000e+00
 7.55270982e-01 -6.30117232e-02 -2.00398190e-01
 7.55270982e-01 -6.30117232e-02  0.00000000e+00
 1.32774758e-02  4.39664130e-01  1.46917680e+00
 1.04802177e+00  4.16260151e-01  2.14958821e-09
 8.82014041e-01 -4.44056316e-01  2.24963564e+00
-3.47902668e-01 -1.35818805e-01 -8.95369034e-10
 4.32725936e-01  1.11149315e-01 -4.38245375e-01
 4.32725936e-01  1.11149315e-01  0.00000000e+00
TS 0  1.70100000e+00
 5.69998006e-01 -3.26654540e-03 -2.04009567e-01
 5.69998006e-01 -3.26654540e-03  0.00000000e+00
 7.00986990e-02  3.47515457e-01  5.36908761e-01
 8.86504962e-01  3.17097406e-01  4.76449025e-08
 6.49546007e-01 -3.89415364e-01  1.95336695e+00
-3.91093072e-01  7.38326600e-02 -2.07689434e-08
 3.13860057e-01  1.18005777e-01  1.62165786e-02
 3.13860057e-01  1.18005777e-01  0.00000000e+00
TS 0  1.75100000e+00
 3.63702736e-01  4.34283203e-02 -2.11130414e-01
 3.63702736e-01  4.34283203e-02  0.00000000e+00
 1.09651892e-01  2.15384663e-01 -2.08714382e-01
 6.70125600e-01  2.08175211e-01  2.35094388e-09
 3.71198093e-01 -2.88708837e-01  1.34817942e+00
-3.97073158e-01  2.50967372e-01 -1.17804650e-09
 1.70531533e-01  1.14697263e-01  4.34657208e-01
 1.70531533e-01  1.14697263e-01  0.00000000e+00
TS 0  1.80100000e+00
 1.51913801e-01  7.01726620e-02 -1.89749018e-01
 1.51913801e-01  7.01726620e-02  0.00000000e+00
 1.24308198e-01  5.06986244e-02 -6.64720162e-01
 4.19761229e-01  1.07973811e-01 -1.67393799e-08
 7.43321168e-02 -1.51891097e-01  5.22137297e-01
-3.55417599e-01  3.64005793e-01  8.51868087e-09
 1.22965874e-02  9.81130166e-02  6.92650639e-01
 1.22965874e-02  9.81130166e-02  0.00000000e+00
TS 0  1.85100000e+00
-5.65774989e-02  7.22044664e-02 -1.36707268e-01
-5.65774989e-02  7.22044664e-02  0.00000000e+00
 1.04358273e-01 -1.36005219e-01 -9.25502860e-01
 1.69946379e-01  3.13028923e-02 -4.08866341e-08
-1.73478142e-01 -2.20097257e-02 -2.91865810e-01
-2.83049227e-01  4.30847619e-01  2.24501595e-08
-1.51846513e-01  6.93119417e-02  7.30628250e-01
-1.51846513e-01  6.93119417e-02  0.00000000e+00
TS 0  1.90100000e+00
-2.50440699e-01  5.53605414e-02 -7.61739922e-02
-2.50440699e-01  5.53605414e-02  0.00000000e+00
 5.77395742e-02 -3.22195782e-01 -1.07477001e+00
