Node 	 Time 	 Analytic Concentration 	 Model Computed Concentration 	 Node Error 	 GRID RMS ERROR
 1543	       6800.0000000000 	          0.0100000000 	        -0.0000002984 	          0.0100002984 	         0.0000632719
 1543	       6900.0000000000 	          0.0100000000 	        -0.0000004590 	          0.0100004590 	         0.0000630003
 1543	       7000.0000000000 	          0.0100000000 	        -0.0000006800 	          0.0100006800 	         0.0000627341
 1543	       7100.0000000000 	          0.0100000000 	        -0.0000009639 	          0.0100009639 	         0.0000624730
 1543	       7200.0000000000 	          0.0100000000 	        -0.0000012967 	          0.0100012967 	         0.0000622169
 1543	       7300.0000000000 	          0.0100000000 	        -0.0000016349 	          0.0100016349 	         0.0000619656
 1543	       7400.0000000000 	          0.0100000000 	        -0.0000018866 	          0.0100018866 	         0.0000617190
 1543	       7500.0000000000 	          0.0100000000 	        -0.0000018873 	          0.0100018873 	         0.0000614769
 1543	       7600.0000000000 	          0.0100000000 	        -0.0000013690 	          0.0100013690 	         0.0000612391
 1543	       7700.0000000000 	          0.0100000000 	         0.0000000750 	          0.0099999250 	         0.0000610056
 1543	       7800.0000000000 	          0.0100000000 	         0.0000030292 	          0.0099969708 	         0.0000607762
 1543	       7900.0000000000 	          0.0100000000 	         0.0000082958 	          0.0099917042 	         0.0000605507
 1543	       8000.0000000000 	          0.0100000000 	         0.0000169312 	          0.0099830688 	         0.0000603291
 1543	       8100.0000000000 	          0.0100000000 	         0.0000302751 	          0.0099697249 	         0.0000601113
 1543	       8200.0000000000 	          0.0100000000 	         0.0000499668 	          0.0099500332 	         0.0000598971
 1543	       8300.0000000000 	          0.0100000000 	         0.0000779436 	          0.0099220564 	         0.0000596864
 1543	       8400.0000000000 	          0.0100000000 	         0.0001164185 	          0.0098835815 	         0.0000594792
 1543	       8500.0000000000 	          0.0100000000 	         0.0001678325 	          0.0098321675 	         0.0000592752
 1543	       8600.0000000000 	          0.0100000000 	         0.0002347825 	          0.0097652175 	         0.0000590746
 1543	       8700.0000000000 	          0.0100000000 	         0.0003199248 	          0.0096800752 	         0.0000588771
 1543	       8800.0000000000 	          0.0100000000 	         0.0004258600 	          0.0095741400 	         0.0000586826
 1543	       8900.0000000000 	          0.0100000000 	         0.0005550036 	          0.0094449964 	         0.0000584912
 1543	       9000.0000000000 	          0.0100000000 	         0.0007094530 	          0.0092905470 	         0.0000583026
 1543	       9100.0000000000 	          0.0100000000 	         0.0008908570 	          0.0091091430 	         0.0000581169
 1543	       9200.0000000000 	          0.0100000000 	         0.0011003009 	          0.0088996991 	         0.0000579339
 1543	       9300.0000000000 	          0.0100000000 	         0.0013382133 	          0.0086617867 	         0.0000577537
 1543	       9400.0000000000 	          0.0100000000 	         0.0016043035 	          0.0083956965 	         0.0000575760
 1543	       9500.0000000000 	          0.0100000000 	         0.0018975338 	          0.0081024662 	         0.0000574009
 1543	       9600.0000000000 	          0.0100000000 	         0.0022161291 	          0.0077838709 	         0.0000572283
 1543	       9700.0000000000 	          0.0100000000 	         0.0025576242 	          0.0074423758 	         0.0000570581
 1543	       9800.0000000000 	          0.0100000000 	         0.0029189433 	          0.0070810567 	         0.0000568903
 1543	       9900.0000000000 	          0.0100000000 	         0.0032965089 	          0.0067034911 	         0.0000567248
 1543	      10000.0000000000 	          0.0100000000 	         0.0036863698 	          0.0063136302 	         0.0000565616
 1543	      10100.0000000000 	          0.0100000000 	         0.0040843425 	          0.0059156575 	         0.0000564006
 1543	      10200.0000000000 	          0.0100000000 	         0.0044861553 	          0.0055138447 	         0.0000562417
 1543	      10300.0000000000 	          0.0100000000 	         0.0048875881 	          0.0051124119 	         0.0000560849
 1543	      10400.0000000000 	          0.0100000000 	         0.0052846010 	          0.0047153990 	         0.0000559302
 1543	      10500.0000000000 	          0.0100000000 	         0.0056734447 	          0.0043265553 	         0.0000557775
 1543	      10600.0000000000 	          0.0100000000 	         0.0060507504 	          0.0039492496 	         0.0000556268
 1543	      10700.0000000000 	          0.0100000000 	         0.0064135962 	          0.0035864038 	         0.0000554780
 1543	      10800.0000000000 	          0.0100000000 	         0.0067595495 	          0.0032404505 	         0.0000553311
 1543	      10900.0000000000 	          0.0100000000 	         0.0070866860 	          0.0029133140 	         0.0000551860
 1543	      11000.0000000000 	          0.0100000000 	         0.0073935891 	          0.0026064109 	         0.0000550427
 1543	      11100.0000000000 	          0.0100000000 	         0.0076793300 	          0.0023206700 	         0.0000549012
 1543	      11200.0000000000 	          0.0100000000 	         0.0079434339 	          0.0020565661 	         0.0000547614
 1543	      11300.0000000000 	          0.0100000000 	         0.0081858361 	          0.0018141639 	         0.0000546233
 1543	      11400.0000000000 	          0.0100000000 	         0.0084068295 	          0.0015931705 	         0.0000544868
 1543	      11500.0000000000 	          0.0100000000 	         0.0086070092 	          0.0013929908 	         0.0000543519
 1543	      11600.0000000000 	          0.0100000000 	         0.0087872161 	          0.0012127839 	         0.0000542187
 1543	      11700.0000000000 	          0.0100000000 	         0.0089484812 	          0.0010515188 	         0.0000540870
 1543	      11800.0000000000 	          0.0100000000 	         0.0090919740 	          0.0009080260 	         0.0000539568
 1543	      11900.0000000000 	          0.0100000000 	         0.0092189548 	          0.0007810452 	         0.0000538281
 1543	      12000.0000000000 	          0.0100000000 	         0.0093307334 	          0.0006692666 	         0.0000537009
 1543	      12100.0000000000 	          0.0100000000 	         0.0094286333 	          0.0005713667 	         0.0000535751
 1543	      12200.0000000000 	          0.0100000000 	         0.0095139617 	          0.0004860383 	         0.0000534507
 1543	      12300.0000000000 	          0.0100000000 	         0.0095879860 	          0.0004120140 	         0.0000533277
 1543	      12400.0000000000 	          0.0100000000 	         0.0096519158 	          0.0003480842 	         0.0000532060
 1543	      12500.0000000000 	          0.0100000000 	         0.0097068895 	          0.0002931105 	         0.0000530857
 1543	      12600.0000000000 	          0.0100000000 	         0.0097539655 	          0.0002460345 	         0.0000529666
 1543	      12700.0000000000 	          0.0100000000 	         0.0097941175 	          0.0002058825 	         0.0000528489
 1543	      12800.0000000000 	          0.0100000000 	         0.0098282320 	          0.0001717680 	         0.0000527324
 1543	      12900.0000000000 	          0.0100000000 	         0.0098571095 	          0.0001428905 	         0.0000526171
 1543	      13000.0000000000 	          0.0100000000 	         0.0098814667 	          0.0001185333 	         0.0000525030
 1543	      13100.0000000000 	          0.0100000000 	         0.0099019404 	          0.0000980596 	         0.0000523901
 1543	      13200.0000000000 	          0.0100000000 	         0.0099190927 	          0.0000809073 	         0.0000522784
 1543	      13300.0000000000 	          0.0100000000 	         0.0099334164 	          0.0000665836 	         0.0000521679
 1543	      13400.0000000000 	          0.0100000000 	         0.0099453410 	          0.0000546590 	         0.0000520584
 1543	      13500.0000000000 	          0.0100000000 	         0.0099552387 	          0.0000447613 	         0.0000519501
 1543	      13600.0000000000 	          0.0100000000 	         0.0099634304 	          0.0000365696 	         0.0000518428
 1543	      13700.0000000000 	          0.0100000000 	         0.0099701913 	          0.0000298087 	         0.0000517366
 1543	      13800.0000000000 	          0.0100000000 	         0.0099757561 	          0.0000242439 	         0.0000516315
 1543	      13900.0000000000 	          0.0100000000 	         0.0099803247 	          0.0000196753 	         0.0000515274
 1543	      14000.0000000000 	          0.0100000000 	         0.0099840659 	          0.0000159341 	         0.0000514243
 1543	      14100.0000000000 	          0.0100000000 	         0.0099871220 	          0.0000128780 	         0.0000513222
 1543	      14200.0000000000 	          0.0100000000 	         0.0099896126 	          0.0000103874 	         0.0000512210
 1543	      14300.0000000000 	          0.0100000000 	         0.0099916378 	          0.0000083622 	         0.0000511209
 1543	      14400.0000000000 	          0.0100000000 	         0.0099932808 	          0.0000067192 	         0.0000510217
 1543	      14500.0000000000 	          0.0100000000 	         0.0099946108 	          0.0000053892 	         0.0000509234
 1543	      14600.0000000000 	          0.0100000000 	         0.0099956853 	          0.0000043147 	         0.0000508260
 1543	      14700.0000000000 	          0.0100000000 	         0.0099965516 	          0.0000034484 	         0.0000507295
 1543	      14800.0000000000 	          0.0100000000 	         0.0099972486 	          0.0000027514 	         0.0000506340
 1543	      14900.0000000000 	          0.0100000000 	         0.0099978084 	          0.0000021916 	         0.0000505393
 1543	      15000.0000000000 	          0.0100000000 	         0.0099982571 	          0.0000017429 	         0.0000504454
 1543	      15100.0000000000 	          0.0100000000 	         0.0099986162 	          0.0000013838 	         0.0000503524
 1543	      15200.0000000000 	          0.0100000000 	         0.0099989029 	          0.0000010971 	         0.0000502602
 1543	      15300.0000000000 	          0.0100000000 	         0.0099991316 	          0.0000008684 	         0.0000501689
 1543	      15400.0000000000 	          0.0100000000 	         0.0099993136 	          0.0000006864 	         0.0000500783
 1543	      15500.0000000000 	          0.0100000000 	         0.0099994582 	          0.0000005418 	         0.0000499885
 1543	      15600.0000000000 	          0.0100000000 	         0.0099995730 	          0.0000004270 	         0.0000498995
 1543	      15700.0000000000 	          0.0100000000 	         0.0099996639 	          0.0000003361 	         0.0000498113
 1543	      15800.0000000000 	          0.0100000000 	         0.0099997359 	          0.0000002641 	         0.0000497237
 1543	      15900.0000000000 	          0.0100000000 	         0.0099997927 	          0.0000002073 	         0.0000496368
 1543	      16000.0000000000 	          0.0100000000 	         0.0099998375 	          0.0000001625 	         0.0000495505
 1543	      16100.0000000000 	          0.0100000000 	         0.0099998728 	          0.0000001272 	         0.0000494647
 1543	      16200.0000000000 	          0.0100000000 	         0.0099999005 	          0.0000000995 	         0.0000493793
 1543	      16300.0000000000 	          0.0100000000 	         0.0099999223 	          0.0000000777 	         0.0000492941
 1543	      16400.0000000000 	          0.0100000000 	         0.0099999394 	          0.0000000606 	         0.0000492087
 1543	      16500.0000000000 	          0.0100000000 	         0.0099999528 	          0.0000000472 	         0.0000491229
 1543	      16600.0000000000 	          0.0100000000 	         0.0099999633 	          0.0000000367 	         0.0000490360
 1543	      16700.0000000000 	          0.0100000000 	         0.0099999715 	          0.0000000285 	         0.0000489474
 1543	      16800.0000000000 	          0.0100000000 	         0.0099999778 	          0.0000000222 	         0.0000488560
 1543	      16900.0000000000 	          0.0100000000 	         0.0099999828 	          0.0000000172 	         0.0000487606
 1543	      17000.0000000000 	          0.0100000000 	         0.0099999867 	          0.0000000133 	         0.0000486596
 1543	      17100.0000000000 	          0.0100000000 	         0.0099999897 	          0.0000000103 	         0.0000485509
 1543	      17200.0000000000 	          0.0100000000 	         0.0099999920 	          0.0000000080 	         0.0000484321
 1543	      17300.0000000000 	          0.0100000000 	         0.0099999939 	          0.0000000061 	         0.0000483002
 1543	      17400.0000000000 	          0.0100000000 	         0.0099999953 	          0.0000000047 	         0.0000481518
